targetId,diseaseId,score
ENSG00000107147,EFO_0000474,0.0
ENSG00000107147,HP_0012759,0.0
ENSG00000107736,HP_0000399,0.0
ENSG00000107779,EFO_0000365,0.0
ENSG00000108055,HP_0012759,0.0
ENSG00000108061,EFO_0003847,0.0
ENSG00000108061,HP_0001249,0.0
ENSG00000108433,Orphanet_98473,0.0
ENSG00000108510,EFO_0003847,0.0
ENSG00000108510,HP_0001249,0.0
ENSG00000108523,Orphanet_158,0.0
ENSG00000108784,EFO_0003847,0.0
ENSG00000108784,HP_0001249,0.0
ENSG00000109323,EFO_0003847,0.0
ENSG00000109323,HP_0001249,0.0
ENSG00000110195,EFO_0003847,0.0
ENSG00000110195,HP_0001249,0.0
ENSG00000111249,EFO_0003847,0.0
ENSG00000111249,HP_0001249,0.0
ENSG00000111249,HP_0002069,0.0
ENSG00000111596,EFO_0002950,0.0
ENSG00000111642,EFO_0003847,0.0
ENSG00000111642,HP_0001249,0.0
ENSG00000111642,HP_0012759,0.0
ENSG00000111700,EFO_0005556,0.0
ENSG00000112039,EFO_0000305,0.0
ENSG00000112039,MONDO_0007254,0.0
ENSG00000112137,HP_0012759,0.0
ENSG00000112159,HP_0001657,0.0
ENSG00000112246,Orphanet_570,0.0
ENSG00000112246,Orphanet_93388,0.0
ENSG00000112425,EFO_0003847,0.0
ENSG00000112425,HP_0001249,0.0
ENSG00000113318,MONDO_0018812,0.0
ENSG00000113360,HP_0002269,0.0
ENSG00000113522,EFO_0009649,0.0
ENSG00000113889,MONDO_0033947,0.0
ENSG00000113889,Orphanet_100054,0.0
ENSG00000113889,Orphanet_91378,0.0
ENSG00000113905,HP_0001873,0.0
ENSG00000113905,HP_0001892,0.0
ENSG00000114279,EFO_0004593,0.0
ENSG00000114786,EFO_0003847,0.0
ENSG00000114786,HP_0001249,0.0
ENSG00000114841,Orphanet_399805,0.0
ENSG00000114859,EFO_0003847,0.0
ENSG00000114859,HP_0001249,0.0
ENSG00000115306,HP_0012759,0.0
ENSG00000115355,Orphanet_2836,0.0
ENSG00000115596,Orphanet_322,0.0
ENSG00000115718,MONDO_0033947,0.0
ENSG00000115718,Orphanet_100054,0.0
ENSG00000115718,Orphanet_91378,0.0
ENSG00000115884,HP_0001657,0.0
ENSG00000115904,Orphanet_99739,0.0
ENSG00000115970,HP_0002269,0.0
ENSG00000116044,HP_0012759,0.0
ENSG00000116539,EFO_0003847,0.0
ENSG00000116539,HP_0001249,0.0
ENSG00000116833,HP_0001657,0.0
ENSG00000116984,EFO_0003847,0.0
ENSG00000116984,HP_0001249,0.0
ENSG00000117118,EFO_0000305,0.0
ENSG00000117118,MONDO_0007254,0.0
ENSG00000117425,Orphanet_570,0.0
ENSG00000117595,Orphanet_139039,0.0
ENSG00000117601,Orphanet_805,0.0
ENSG00000117713,HP_0001249,0.0
ENSG00000117877,Orphanet_1466,0.0
ENSG00000118046,EFO_0000305,0.0
ENSG00000118046,EFO_0000365,0.0
ENSG00000118046,EFO_0004230,0.0
ENSG00000118046,MONDO_0001657,0.0
ENSG00000118046,MONDO_0003059,0.0
ENSG00000118046,MONDO_0007254,0.0
ENSG00000118046,Orphanet_213517,0.0
ENSG00000118407,HP_0002269,0.0
ENSG00000118520,Orphanet_88616,0.0
ENSG00000118729,EFO_0004269,0.0
ENSG00000119638,HP_0000175,0.0
ENSG00000119638,Orphanet_190,0.0
ENSG00000119681,Orphanet_1885,0.0
ENSG00000119684,EFO_0000305,0.0
ENSG00000119684,MONDO_0007254,0.0
ENSG00000119866,HP_0012759,0.0
ENSG00000119977,HP_0001657,0.0
ENSG00000120054,MONDO_0033947,0.0
ENSG00000120054,Orphanet_100054,0.0
ENSG00000120054,Orphanet_91378,0.0
ENSG00000120071,HP_0012759,0.0
ENSG00000120696,Orphanet_570,0.0
ENSG00000120802,EFO_0000318,0.0
ENSG00000120885,Orphanet_1020,0.0
ENSG00000121691,EFO_0004593,0.0
ENSG00000121879,EFO_0002918,0.0
ENSG00000121879,Orphanet_140162,0.0
ENSG00000121892,HP_0012759,0.0
ENSG00000122025,EFO_0000222,0.0
ENSG00000122194,MONDO_0033947,0.0
ENSG00000122194,Orphanet_100054,0.0
ENSG00000123384,Orphanet_79100,0.0
ENSG00000123594,EFO_0003847,0.0
ENSG00000123594,HP_0001249,0.0
ENSG00000123700,EFO_0005306,0.0
ENSG00000123700,MONDO_0000995,0.0
ENSG00000123700,Orphanet_101016,0.0
ENSG00000123700,Orphanet_768,0.0
ENSG00000124107,MONDO_0005148,0.0
ENSG00000124145,MONDO_0005148,0.0
ENSG00000124159,MONDO_0005148,0.0
ENSG00000124198,EFO_0003847,0.0
ENSG00000124198,HP_0001249,0.0
ENSG00000124232,MONDO_0005148,0.0
ENSG00000124615,EFO_0003847,0.0
ENSG00000124615,HP_0001249,0.0
ENSG00000125686,EFO_0003847,0.0
ENSG00000125686,HP_0001249,0.0
ENSG00000125827,EFO_0000668,0.0
ENSG00000126464,HP_0002269,0.0
ENSG00000126733,HP_0002269,0.0
ENSG00000126934,Orphanet_638,0.0
ENSG00000127616,EFO_0000305,0.0
ENSG00000127616,MONDO_0007254,0.0
ENSG00000127980,Orphanet_65,0.0
ENSG00000128309,Orphanet_1035,0.0
ENSG00000128513,EFO_0000389,0.0
ENSG00000128573,EFO_0003847,0.0
ENSG00000128573,HP_0001249,0.0
ENSG00000128591,Orphanet_99739,0.0
ENSG00000128731,EFO_0009063,0.0
ENSG00000128731,MONDO_0010817,0.0
ENSG00000128731,Orphanet_3463,0.0
ENSG00000128731,Orphanet_96210,0.0
ENSG00000128805,HP_0001657,0.0
ENSG00000129221,EFO_0004593,0.0
ENSG00000129221,HP_0002269,0.0
ENSG00000129422,EFO_0000668,0.0
ENSG00000129422,EFO_0002950,0.0
ENSG00000129422,EFO_0004593,0.0
ENSG00000129422,HP_0001518,0.0
ENSG00000129422,HP_0001520,0.0
ENSG00000129675,HP_0001249,0.0
ENSG00000130005,EFO_0003847,0.0
ENSG00000130005,HP_0001249,0.0
ENSG00000130055,HP_0002269,0.0
ENSG00000130158,EFO_0003847,0.0
ENSG00000130158,HP_0001249,0.0
ENSG00000130164,Orphanet_818,0.0
ENSG00000130226,HP_0012759,0.0
ENSG00000130449,HP_0012759,0.0
ENSG00000130508,Orphanet_91492,0.0
ENSG00000130529,EFO_0009447,0.0
ENSG00000130529,HP_0001250,0.0
ENSG00000130529,HP_0001508,0.0
ENSG00000130529,HP_0001655,0.0
ENSG00000130529,HP_0001662,0.0
ENSG00000130635,Orphanet_98249,0.0
ENSG00000131016,EFO_0000668,0.0
ENSG00000131018,EFO_0003847,0.0
ENSG00000131018,HP_0001249,0.0
ENSG00000131018,HP_0012759,0.0
ENSG00000131059,EFO_0000668,0.0
ENSG00000131061,HP_0001657,0.0
ENSG00000131089,EFO_0000474,0.0
ENSG00000131747,HP_0001657,0.0
ENSG00000131828,HP_0012759,0.0
ENSG00000132005,HP_0002269,0.0
ENSG00000132170,EFO_0000632,0.0
ENSG00000132510,EFO_0003847,0.0
ENSG00000132510,HP_0001249,0.0
ENSG00000132535,EFO_0003847,0.0
ENSG00000132535,HP_0001249,0.0
ENSG00000132773,EFO_0000365,0.0
ENSG00000133026,HP_0012759,0.0
ENSG00000133028,Orphanet_1934,0.0
ENSG00000133134,HP_0002269,0.0
ENSG00000134049,EFO_0000474,0.0
ENSG00000134086,EFO_0005804,0.0
ENSG00000134262,EFO_0003847,0.0
ENSG00000134262,HP_0001249,0.0
ENSG00000134323,EFO_0003847,0.0
ENSG00000134323,HP_0001249,0.0
ENSG00000134376,EFO_0003847,0.0
ENSG00000134376,HP_0001249,0.0
ENSG00000134538,EFO_0004593,0.0
ENSG00000134571,EFO_0004278,0.0
ENSG00000134595,EFO_0003847,0.0
ENSG00000134595,HP_0001249,0.0
ENSG00000134597,HP_0002269,0.0
ENSG00000134755,EFO_0004278,0.0
ENSG00000134769,EFO_0000318,0.0
ENSG00000134853,EFO_0000365,0.0
ENSG00000134982,EFO_0000305,0.0
ENSG00000134982,MONDO_0007254,0.0
ENSG00000135074,HP_0002269,0.0
ENSG00000135111,EFO_0001073,0.0
ENSG00000135541,EFO_0003847,0.0
ENSG00000135541,HP_0001249,0.0
ENSG00000135900,EFO_0009135,0.0
ENSG00000135900,EFO_0009298,0.0
ENSG00000135917,EFO_0003847,0.0
ENSG00000135917,HP_0001249,0.0
ENSG00000135945,EFO_0000668,0.0
ENSG00000135945,EFO_0002950,0.0
ENSG00000135945,HP_0001520,0.0
ENSG00000135966,HP_0001657,0.0
ENSG00000135976,Orphanet_2639,0.0
ENSG00000135976,Orphanet_399805,0.0
ENSG00000136492,MONDO_0002974,0.0
ENSG00000136492,Orphanet_213517,0.0
ENSG00000136573,EFO_0002690,0.0
ENSG00000136574,EFO_0003847,0.0
ENSG00000136574,HP_0001249,0.0
ENSG00000136574,Orphanet_325118,0.0
ENSG00000136758,HP_0001657,0.0
ENSG00000136861,EFO_0003847,0.0
ENSG00000136861,HP_0001249,0.0
ENSG00000136869,MONDO_0033947,0.0
ENSG00000136869,Orphanet_100054,0.0
ENSG00000136869,Orphanet_91378,0.0
ENSG00000136999,HP_0001657,0.0
ENSG00000137462,MONDO_0033947,0.0
ENSG00000137462,Orphanet_100054,0.0
ENSG00000137462,Orphanet_91378,0.0
ENSG00000137700,Orphanet_79258,0.0
ENSG00000137841,Orphanet_570,0.0
ENSG00000138081,EFO_0003847,0.0
ENSG00000138081,EFO_0004230,0.0
ENSG00000138081,HP_0001249,0.0
ENSG00000138160,HP_0001657,0.0
ENSG00000138346,HP_0001657,0.0
ENSG00000138363,EFO_0003847,0.0
ENSG00000138363,HP_0001249,0.0
ENSG00000138376,EFO_0001071,0.0
ENSG00000138411,EFO_0003847,0.0
ENSG00000138411,HP_0001249,0.0
ENSG00000138411,HP_0012759,0.0
ENSG00000138411,Orphanet_570,0.0
ENSG00000138685,HP_0001657,0.0
ENSG00000138829,HP_0012759,0.0
ENSG00000139219,EFO_0003847,0.0
ENSG00000139219,HP_0001249,0.0
ENSG00000139428,Orphanet_79201,0.0
ENSG00000139428,Orphanet_79258,0.0
ENSG00000139618,EFO_0006861,0.0
ENSG00000139620,EFO_0003847,0.0
ENSG00000139620,HP_0001249,0.0
ENSG00000140406,HP_0001657,0.0
ENSG00000140463,EFO_0009021,0.0
ENSG00000140521,Orphanet_663,0.0
ENSG00000140836,HP_0012759,0.0
ENSG00000140937,Orphanet_570,0.0
ENSG00000141013,EFO_0003758,0.0
ENSG00000141086,HP_0001657,0.0
ENSG00000141431,HP_0012759,0.0
ENSG00000141510,EFO_0000389,0.0
ENSG00000141510,EFO_0004230,0.0
ENSG00000141510,Orphanet_618,0.0
